/ http://dndtools.eu/items/

.Item; Level; Cost; Slot/Property; Rulebook; Edition

Aberrant Sphere; 7th; 2,800 gp; held; Magic Item Compendium; Supplementals (3.5); 
Absorbing Shield; -; 50,170 gp; Shield; Dungeon Master's Guide v.3.5; Core (3.5); 
Acidic; -; +1 bonus; Armor or shield; Magic Item Compendium; Supplementals (3.5); 
Agility; -; 500 gp; Armor; Magic Item Compendium; Supplementals (3.5); 
Agility, Greater; -; 8,000 gp; Armor; Magic Item Compendium; Supplementals (3.5); 
Agility, Improved; -; 4,000 gp; Armor; Magic Item Compendium; Supplementals (3.5); 
Amulet of Health +2; -; 4,000 gp; Throat; Dungeon Master's Guide v.3.5; Core (3.5); 
Amulet of Health +4; -; 16,000 gp; Throat; Dungeon Master's Guide v.3.5; Core (3.5); 
Amulet of Health +6; -; 36,000 gp; Throat; Dungeon Master's Guide v.3.5; Core (3.5); 
Amulet of Might Fists +2; -; 24,000 gp; Throat; Dungeon Master's Guide v.3.5; Core (3.5); 
Amulet of Might Fists +3; -; 54,000 gp; Throat; Dungeon Master's Guide v.3.5; Core (3.5); 
Amulet of Might Fists +4; -; 96,000 gp; Throat; Dungeon Master's Guide v.3.5; Core (3.5); 
Amulet of Might Fists +5; -; 150,000 gp; Throat; Dungeon Master's Guide v.3.5; Core (3.5); 
Amulet of Mighty Fists +1; -; 6,000 gp; Throat; Dungeon Master's Guide v.3.5; Core (3.5); 
Amulet of Natural Armor +1; -; 2,000 gp; Throat; Dungeon Master's Guide v.3.5; Core (3.5); 
Amulet of Natural Armor +2; -; 8,000 gp; Throat; Dungeon Master's Guide v.3.5; Core (3.5); 
Amulet of Natural Armor +3; -; 18,000 gp; Throat; Dungeon Master's Guide v.3.5; Core (3.5); 
Amulet of Natural Armor +4; -; 32,000 gp; Throat; Dungeon Master's Guide v.3.5; Core (3.5); 
Amulet of Natural Armor +5; -; 50,000 gp; Throat; Dungeon Master's Guide v.3.5; Core (3.5); 
Amulet of Proof against Detection and Location; -; 35,000 gp; Throat; Dungeon Master's Guide v.3.5; Core (3.5); 
Amulet of the Planes; -; 120,000 gp; Throat; Dungeon Master's Guide v.3.5; Core (3.5); 
Anarchic; -; +2 bonus; Weapon; Dungeon Master's Guide v.3.5; Core (3.5); 
Anchoring; -; +1 bonus; Armor or shield; Magic Item Compendium; Supplementals (3.5); 
Anchoring, Greater; -; +1 bonus; Armor or shield; Magic Item Compendium; Supplementals (3.5); 
Angelic; -; +2 bonus; Armor or shield; Book of Exalted Deeds; Supplementals (3.5); 
Anstruth Harp; 16th; 32,100 gp; held; Magic Item Compendium; Supplementals (3.5); 
Antimagic Shackles; -; 132,000 gp; -; Book of Exalted Deeds; Supplementals (3.5); 
Aporter; -; 20,000 gp; Armor or shield; Magic Item Compendium; Supplementals (3.5); 
Apparatus of Kwalish; -; 90,000 gp; -; Dungeon Master's Guide v.3.5; Core (3.5); 
Arcane Thieve's Tools; 5th; 1,400 gp; held; Magic Item Compendium; Supplementals (3.5); 
Armband of Confrontation; 5th; 1,400 gp; Arms; Magic Item Compendium; Supplementals (3.5); 
Armor of the fallen leaves; 14th; 17,350 gp; Body; Magic Item Compendium; Supplementals (3.5); 
Aroma of Curdled Death; 9th; 4,500 gp; -; Magic Item Compendium; Supplementals (3.5); 
Aroma of Dreams; 5th; 1,500 gp; -; Magic Item Compendium; Supplementals (3.5); 
Arrow Deflection; -; +2 bonus; Shield; Dungeon Master's Guide v.3.5; Core (3.5); 
Arrow of Biting; 3rd; 506 gp; Ammunition; Magic Item Compendium; Supplementals (3.5); 
