/ http://dndtools.eu/spells/

.Spell; School; Verbal; Somatic; Material; Arcane; Divine; XP; Rulebook; Edition
 
Abate Dracorage; Abjuration; yes; yes; no; no; no; no; Dragons of Faerûn; Forgotten Realms (3.5); 
Aberrate; Transmutation; yes; yes; no; no; no; no; Book of Vile Darkness; Supplementals (3.0); 
Ability Rip; Transmutation; yes; yes; yes; no; no; no; Serpent Kingdoms; Forgotten Realms (3.5); 
Ablative Armor; Abjuration; no; yes; yes; no; no; no; Magic of Eberron; Eberron (3.5); 
Aboleth Curse; Necromancy; yes; yes; yes; no; no; no; Stormwrack; Supplementals (3.5); 
Abolish Shadows; Abjuration; yes; yes; yes; no; no; no; Unapproachable East; Forgotten Realms (3.5); 
Absolute Steel; Iron Heart; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Absorb Mind; Divination; yes; yes; no; yes; no; no; Book of Vile Darkness; Supplementals (3.0); 
Absorb Strength; Necromancy; yes; yes; no; yes; no; no; Book of Vile Darkness; Supplementals (3.0); 
Absorb Weapon; Transmutation; yes; yes; no; no; no; no; Complete Adventurer; Supplementals (3.5); 
Absorb Weapon; Transmutation; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Absorb Weapon; Transmutation; yes; yes; no; no; no; no; Song and Silence: A Guidebook to Bards and Rogues; Supplementals (3.0); 
Absorption; Abjuration; yes; yes; no; no; no; no; Complete Arcane; Supplementals (3.5); 
Absorption; Abjuration; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Absorption; Abjuration; yes; yes; no; no; no; no; Tome and Blood: A Guidebook to Wizards and Sorcerers; Supplementals (3.0); 
Abyssal Army; Conjuration; yes; yes; no; no; no; no; Planar Handbook; Supplementals (3.5); 
Abyssal Army; Conjuration; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Abyssal Frenzy; Transmutation; yes; yes; no; no; yes; no; Fiendish Codex I: Hordes of the Abyss; Supplementals (3.5); 
Abyssal Frenzy, Mass; Transmutation; yes; yes; no; no; yes; no; Fiendish Codex I: Hordes of the Abyss; Supplementals (3.5); 
Abyssal Might; Conjuration; yes; yes; yes; no; no; no; Book of Vile Darkness; Supplementals (3.0); 
Abyssal Rift; Conjuration; yes; yes; yes; no; no; no; Fiendish Codex I: Hordes of the Abyss; Supplementals (3.5); 
Accelerated Movement; Transmutation; yes; yes; yes; no; no; no; Complete Adventurer; Supplementals (3.5); 
Accelerated Movement; Transmutation; no; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Accuracy; Transmutation; yes; yes; yes; no; no; no; Complete Arcane; Supplementals (3.5); 
Accuracy; Transmutation; yes; yes; yes; no; no; no; Oriental Adventures; Oriental Adventures (3.0); 
Acid Breath; Conjuration; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Acid Fog; Conjuration; yes; yes; yes; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Acid Orb; Evocation; yes; yes; no; no; no; no; Tome and Blood: A Guidebook to Wizards and Sorcerers; Supplementals (3.0); 
Acid Orb, Lesser; Conjuration; yes; yes; no; no; no; no; Miniatures Handbook; Supplementals (3.5); 
Acid Orb, Lesser; Evocation; yes; yes; no; no; no; no; Tome and Blood: A Guidebook to Wizards and Sorcerers; Supplementals (3.0); 
Acid Rain; Conjuration; yes; yes; yes; no; no; no; Heroes of Battle; Supplementals (3.5); 
Acid Sheath; Conjuration; yes; yes; yes; yes; no; no; Spell Compendium; Supplementals (3.5); 
Acid Splash; Conjuration; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Acid Splash; Conjuration; yes; yes; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Acid Storm; Evocation; yes; yes; yes; no; no; no; Player's Guide to Faerûn; Forgotten Realms (3.5); 
Acid Storm; Conjuration; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Acid Storm; Evocation; yes; yes; yes; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Action Before Thought; Diamond Mind; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Adamantine Bones; Stone Dragon; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Adamantine Hurricane; Iron Heart; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Adamantine Weapon; Transmutation; no; yes; yes; no; no; no; Magic of Eberron; Eberron (3.5); 
Adamantine Wings; Transmutation; yes; yes; no; no; no; no; Complete Mage; Supplementals (3.5); 
Adapt Body; Psychometabolism; no; no; no; no; no; no; Expanded Psionics Handbook; Supplementals (3.5); 
Addiction; Enchantment; yes; yes; no; no; no; no; Book of Vile Darkness; Supplementals (3.0); 
Adept Spirit; Divination; yes; yes; no; no; yes; no; Magic of Incarnum; Supplementals (3.5); 
Adept Spirit, Mass; Divination; no; no; no; no; no; no; Magic of Incarnum; Supplementals (3.5); 
Adoration of the Frightful; Enchantment; yes; no; no; no; no; no; Dragon Magic; Supplementals (3.5); 
Adrenaline Surge; Transmutation; yes; yes; no; no; yes; no; Masters of the Wild: A Guidebook to Barbarians, Druids, and Rangers; Supplementals (3.0); 
Advice; Enchantment; yes; no; no; no; no; no; Oriental Adventures; Oriental Adventures (3.0); 
Aerial Alacrity; Transmutation; yes; no; no; no; no; no; Races of the Wild; Supplementals (3.5); 
Aerial Alarm; Abjuration; yes; yes; no; yes; yes; no; Heroes of Battle; Supplementals (3.5); 
Aerial Summoning Dance; Conjuration; yes; yes; no; no; yes; no; Races of Faerûn; Forgotten Realms (3.0); 
Affliction; Necromancy; yes; yes; no; no; no; no; Book of Exalted Deeds; Supplementals (3.5); 
Aganazzar's Scorcher; Evocation; yes; yes; no; yes; no; no; Forgotten Realms Campaign Setting; Forgotten Realms (3.0); 
Aggravate Dracorage; Enchantment; yes; yes; no; no; no; no; Dragons of Faerûn; Forgotten Realms (3.5); 
Aid; Enchantment; yes; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Aid, Legion's; Enchantment; no; no; no; no; no; no; Miniatures Handbook; Supplementals (3.5); 
Aid, Mass; Enchantment; no; no; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Aiming At the Target; Abjuration; no; yes; no; no; no; no; Complete Arcane; Supplementals (3.5); 
Aiming at the Target; Abjuration; no; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Aiming At the Target; Abjuration; no; yes; no; no; no; no; Oriental Adventures; Oriental Adventures (3.0); 
Air Breathing; Transmutation; no; yes; yes; no; yes; no; Champions of Ruin; Forgotten Realms (3.5); 
Air Breathing; Transmutation; no; yes; yes; no; yes; no; Spell Compendium; Supplementals (3.5); 
Air Breathing; Transmutation; no; yes; yes; no; yes; no; Stormwrack; Supplementals (3.5); 
Air Breathing; Transmutation; no; yes; yes; no; yes; no; Savage Species; Supplementals (3.0); 
Air Walk; Transmutation; yes; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Airy Water; Transmutation; no; yes; yes; no; no; no; Stormwrack; Supplementals (3.5); 
Alamanther's Return; Transmutation; yes; yes; yes; no; no; yes; Magic of Faerûn; Forgotten Realms (3.0); 
Alarm; Abjuration; yes; yes; no; yes; yes; no; Player's Handbook v.3.5; Core (3.5); 
Alarm, Greater; Abjuration; yes; yes; no; yes; no; no; Spell Compendium; Supplementals (3.5); 
Alert Bebilith; Conjuration; yes; yes; yes; no; no; no; Book of Vile Darkness; Supplementals (3.0); 
Algid Enhancement; Transmutation; yes; yes; no; no; no; no; Frostburn; Supplementals (3.5); 
Alibi; Illusion; yes; no; no; no; no; no; Exemplars of Evil; Supplementals (3.5); 
Alicorn Lance; Evocation; yes; yes; no; no; yes; no; Silver Marches; Forgotten Realms (3.0); 
Align Fang; Transmutation; yes; yes; no; no; yes; no; Miniatures Handbook; Supplementals (3.5); 
Align Fang; Transmutation; yes; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Align Fang, Legion's; Transmutation; no; no; no; no; no; no; Miniatures Handbook; Supplementals (3.5); 
Align Fang, Mass; Transmutation; yes; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Align Weapon; Transmutation; yes; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Align Weapon, Legion's; Transmutation; no; no; no; no; no; no; Miniatures Handbook; Supplementals (3.5); 
Align Weapon, Mass; Transmutation; yes; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Aligned Aura; Abjuration; yes; yes; no; no; yes; no; Complete Champion; Supplementals (3.5); 
Allegro; Transmutation; yes; yes; yes; no; no; no; Complete Adventurer; Supplementals (3.5); 
Allegro; Transmutation; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Allegro; Transmutation; yes; yes; yes; no; no; no; Song and Silence: A Guidebook to Bards and Rogues; Supplementals (3.0); 
Alliance Undone; Transmutation; yes; yes; yes; no; yes; no; Exemplars of Evil; Supplementals (3.5); 
Allied Footsteps; Divination; yes; yes; no; no; no; no; Complete Mage; Supplementals (3.5); 
Alter Fortune; Divination; yes; no; no; no; no; yes; Player's Handbook II; Supplementals (3.5); 
Alter Self; Transmutation; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Alustriel's Banner; Illusion; yes; yes; yes; no; no; no; Silver Marches; Forgotten Realms (3.0); 
