/ http://www.jrrvf.com/hisweloke/sindar/online/sindar/dict-sd-en.html

.Sindarin, Type, Definition

a; conj.; and
ab; pref.; after, later 
ablad; n.; prohibition, refusal (with reference to the gesture one makes with the hand)
abonnen; n.; and adj. 1. born later, born after ○ 2. as a noun, man, one born later than the Elves, a human being (elvish name for men)
achad; n.; neck (properly referring only to the bony vertebral part not including the throat)
acharn; n.; vengeance
achas; n.; dread, fear 
ad; pref.; back, again, re-
ada; n.; m. hypo. of adar, father, daddy
adab; n.; building, house
adan; n.; man, one of the Second People (elvish name for men)
adanadar; n.; man, one of the Fathers of Men
adanath; n.; coll. of adan, men
adaneth; n.; f. (mortal) woman
adar; n.; m. father
adel; prep.; behind, in rear (of)
adertha; v.; to reunite 
aderthad; ger.; of adertha-, reuniting, reunion
adlann; adj.; sloping, tilted
adlanna; inf.; †adlanno *S. (atlanno N.) v. to slope, slant
adlanno; inf. (pl); †adlanno *S. (atlanno N.) v. to slope, slant
adlant; adj.; oblique, slanting
adleg; inf.; adlegi N. pa. t. adlenc N. v. Arch., to loose, let loose, release
adlegi; inf. (pl); adlegi N. pa. t. adlenc N. v. Arch., to loose, let loose, release
adlenc; inf. (pl); adlegi N. pa. t. adlenc N. v. Arch., to loose, let loose, release
aduial; n.; the evening, time of star-opening, "evendim"
ae; interj.; O!
aear; n.; sea
aearon; n.; augm. of aear, great sea, ocean
aeg; n.; point aeglos, etc.
aegais; n. (pl); plural of abst. of aeg, mountain peak
aegas; n.; abst. of aeg, mountain peak
aeglir; n.; range of mountain peaks LotR, X/OE
aeglos; n.; 1. snowthorn, a plant like furze (gorse), but larger and with white flowers ○ 2. icicle (a pendent spear of ice formed by the freezing of dripping water)
ael; n.; lake, pool, mere
aelin; n. (pl); plural of lake, pool, mere
aer; adj.; holy
aerlinn; n.; (unknown meaning, perhaps a song about the sea, or possibly holy song)
aes; n.; cooked food, meat
aew; n.; (small) bird
aewen; adj.; of birds 
afarch; adj. (pl); very dry, arid
agar; n.; blood 
agarwaen; adj.; bloodstained
aglar; n.; glory, brilliance, splendour
aglareb; adj.; glorious
aglon; n. (pl); defile, pass between high walls
aglond; n. (pl); defile, pass between high walls
aglonn; n.; defile, pass between high walls
agor; adj.; narrow
ah; prep.; and conj. and, with
ahamar; n. (pl); neighbour
ai; pron.; rel. for those who
aith; n.; spearpoint
al; pref.; no, not
alae; interj.; (?) behold!
alag; adj.; rushing, impetuous
alagos; n.; storm of wind
alf; n. (pl); swan
alfirin; n.; and adj. 1. immortal ○ 2. as a noun, name of a flower, bell-like and running through many soft and gentle colours ○ 3. as a noun, also used for another small white flower
alph; n.; swan
am; prep.; up, upwards, upon
amar; n.; earth
amarth; n.; fate, doom
amarthan; adj.; fated
amath; n.; shield
ambar; n. (pl); earth
ambath; n. (pl); shield
amben; adv. (pl); uphill, sloping upwards
ambend; adv. (pl); uphill, sloping upwards
ambenn; adv.; uphill, sloping upwards
amdir; n.; hope based on reason
amloth; n.; flower or floreate device used as crest fixed to the point of a tall helmet
amlug; n.; dragon
ammarth; n. (pl); fate, doom
ammen; pron.; 1st pl. of us, for us, toward us
amon; n.; hill, steep-sided mount
amrûn; n.; east, orient
an; prep.; to, towards, for
anann; adv.; long, for a long time
anc; n.; jaw, row of teeth
and; adj.; long
andabon; n. (pl); elephant
andaith; n.; long-mark, sign used in writing alphabetic tengwar over a vowel, to indicate that it is lengthened.
andeith; n. (pl); long-mark, sign used in writing alphabetic tengwar over a vowel, to indicate that it is lengthened.
andrann; n.; cycle, age
anfang; n.; one of the Longbeards (a tribe of Dwarves)
anfangrim; n.; class pl. of anfang, the Longbeards (a tribe of Dwarves)
ang; n.; iron
angerthas; n.; runic alphabet, long rune-rows (extended version of the Certhas)
anglenna; v.; to approach 
anglennatha; v.; fut. 3rd of anglenna-, (he) will approach
angol; n.; Arch., deep lore, magic
angren; adj.; of iron
angwedh; n.; chain
anim; pron.; 1st for myself
ann; adj. (pl); long
anna; inf.; anno N. v. to give
annabon; n.; elephant
anno; v.; imp. of anna-, give!
annon; n.; augm. great door or gate
annui; adj.; western
annúnaid; n.; the "Westron" language (one of the names for Common Speech)
annûn; n.; west, sunset
anor; n.; sun
anrand; n. (pl); cycle, age
ant; n.; gift
anu; adj.; male
anw; adj. (pl); male
anwar; n.; awe
aníra; v.; to desire
aphad; v.; to follow
aphadon; n.; 1. follower ○ 2. by ext., man (elvish name for men)
aphadrim; n.; class pl. of aphadon, followers, men (elvish name for men)
apharch; adj.; very dry, arid
ar; pref.; 1. etym. beside ○ 2. by ext., without
ara; pref.; high, noble, royal
arad; n.; daytime, a day
aran; n.; king (used of a lord or king of a specified region)
aranarth; n.; kingdom, "king-holding"
aras; n.; deer
ardh; n.; realm, region
ardhon; n.; augm. of ardh, 1. great region, province ○ 2. by ext., world 
arn; adj.; royal ⇒ arnen
arnad; n.; kingdom
arnediad; adj.; innumerable, countless, endless, without reckoning, numberless
arnen; adj.; (?) royal Arnen, Lonnath-Ernin 
arnœdiad; adj. (pl); innumerable, countless, endless, without reckoning, numberless
arod; adj.; noble
aronoded; adj.; innumerable, countless, endless
arphen; n.; a noble
arphent; pa. t.; "and (he/she) said"
arth; adj.; (unknown meaning, perhaps (?) noble, lofty, exalted) LotR
arwen; n.; f. noble woman (name) LotR
ascar; adj. (pl); violent, rushing, impetuous
asgar; adj.; violent, rushing, impetuous
ast; n.; dust
ath; pref.; on both sides, across
athan; prep.; beyond
atheg; n.; m. dim. of adar, 1. "litte father" ○ 2. thumb (Elvish play-name used by and taught to children)
athelas; n.; "kingsfoil", a healing herb brought to Middle-earth by the Númenóreans
athra; pref.; across 
athrabeth; n.; debate, converse
athrad; n.; (river-)crossing, ford, way
athrada; inf.; athrado N. v. to cross, traverse
athrado; inf. (pl); athrado N. v. to cross, traverse
atland; adj. (pl); sloping, tilted
atlanna; inf. (pl); †adlanno *S. (atlanno N.) v. to slope, slant
atlanno; inf. (pl); †adlanno *S. (atlanno N.) v. to slope, slant
atlant; adj. (pl); oblique, slanting
aur; n.; day, sunlight, morning
auth; n.; a dim shape, spectral or vague apparition
avad; ger.; of ava-, refusal, reluctance
avam; v.; pres. 1st pl. of ava-, we won't
avar; n.; 1. refuser ○ 2. esp. in the pl., the Avari, Elves who refused the invitation of the Valar
avo; v.; imp. of ava-, don't!
avon; v.; pres. 1st of ava-, I won't
avorn; adj.; staying, fast Hamfast, 
awarth; n.; abandonment
awartha; v.; to forsake, abandon
bach; n.; article (for exchange), ware, thing
bachor; n.; pedlar
badhor; n.; judge
badhron; n.; judge
bain; adj.; beautiful, fair
bair; n. (pl); plural of 1. dwelling, home ○ 2. by ext., inhabited land
balan; n.; Vala, divine power, divinity
balch; adj.; cruel
band; n.; duress, prison, custody, safe-keeping
banga; v.; to trade
bann; n. (pl); duress, prison, custody, safe-keeping
bar; n.; 1. dwelling, home ○ 2. by ext., inhabited land
bara; adj.; 1. fiery ○ 2. eager
barad; n.; tower, fortress
baradh; adj.; steep
baran; soft mut. of; paran Baran 
bartha; inf.; bartho N. v. to doom
bartho; inf. (pl); bartho N. v. to doom
basgorn; n.; loaf (of bread)
bass; n.; bread besoneth, imbas 
bassoneth; n.; f. bread-giver
bast; n.; bread
batha; inf.; batho N. v. to trample
batho; inf. (pl); batho N. v. to trample
baudh; n.; judgement
baug; adj.; tyrannous, cruel, oppressive
baugla; inf.; bauglo N. v. to oppress
bauglir; n.; tyrant, oppressor
bauglo; inf. (pl); bauglo N. v. to oppress
baul; n.; torment
baur; n.; need
baw; interj.; no, don't!
bein; adj. (pl); beautiful, fair
belain; n. (pl); plural of Vala, divine power, divinity
beleg; adj.; great, mighty
belein; n. (pl); plural of Vala, divine power, divinity
belen; n. (pl); plural of Vala, divine power, divinity
bellas; n.; abst. of belt, bodily strength
belt; adj.; strong in body
ben; prep.; according to the, in the
benn; n.; m. man, male
bennas; n.; angle, corner
berein; n. (pl); plural of steadfast, trusty man, faithful vassal
beren; adj.; bold
bereth; n.; f. queen, spouse
beria; inf.; berio N. v. to protect
berio; inf. (pl); berio N. v. to protect
bertha; inf.; bertho N. v. to dare
bertho; inf. (pl); bertho N. v. to dare
besain; n. (pl); f. bread-giver
besoneth; n. (pl); f. bread-giver
bess; n.; f. 1. (young) woman ○ 2. wife
bessain; n.; f. bread-giver
beth; soft mut. of; peth
