/ http://dndtools.eu/feats/

.Feat; Description

Aberrant Dragonmark Gift; Your aberrant dragonmark is especially potent.
Aberrant Dragonmark Mystery; You can use the power of your aberrant mark to enhance your magical abilities.
Aberrant Dragonmark Vigor; You can channel the energy of your aberrant mark to enhance your health.
Aberrant Dragonmark; Although you are not a recognized member of one of the dragonmarked families, you have manifested a dragonmark.
Aberration Banemagic; You can cast spells that do additional damage to aberrations.
Aberration Banemagic; You can cast spells that do extra damage to aberrations.
Aberration Blood; One of your ancestors was an aberration and has passed the taint of its aberrant physiology down through the generations to you. This taint manifests physically in your appearance in some noticeable way.
Aberration Wild Shape; Most druids detest aberrations and think of them as outside nature, but some view them simply as examples of nature from an extreme and alien world. Thanks to your heritage, you are one of these latter, and have learned to channel your inhuman bloodline into your shapeshifting power.
Ability Enchancer; Your helpful transmutation spells aid you more than normal.
Ability Focus; Choose one of your special attacks. This attack becomes more potent than normal.
Ability Focus; The special attack of a creature with this feat is more potent than normal.
Able Learner; You have a great aptitude for learning.
Able Sniper; You are accomplished at remaining unseen when you're sniping with a ranged weapon.
Abominable Form; You revel in the ruination of your flesh, drawing power from your disturbing deformities.
Abrasive; You are difficult and demanding in conversation, which tends to oppress those around you.
Absent-minded; You are fascinated by knowledge and learning and are capable of pursuing complex trains of thought quite quickly. However, your preoccupation with such thoughts makes you a little less aware of your surroundings.
Abyss-Bound Soul; You have pledged your immortal soul to a particular demon lord in return for a gift that aids your evil works in life.
Accelerate Metamagic; You can apply a selected metamagic feat to your spells more quickly than normal.
Accurate Jaunt; You have an instinctive sense of interplanar travel.
Acheron Flurry; You master the secret technique developed by Acheronnative special forces of limiting a foe's options in hand-tohand combat.
Acidic Splatter; You can channel magical energy into orbs of acid.
Acrobatic Backstab; You dart past your opponent's attacks, ending up perfectly positioned for a devastating counterattack.
Acrobatic Strike; Your dexterous maneuvers and skilled acrobatics allow you to slip past a foe's defenses and deliver an accurate strike against him.
Acrobatic; You have excellent body awareness and coordination.
Action Boost; You have the ability to alter your luck drastically in dire circumstances.
Action Healing; You can spend an action point to enhance your healing power.
Action Surge; By spending 2 action points, you can perform an additional action in a round.
Active Shield Defense; Your expert use of your shield allows you to strike at vulnerable foes even when you forgo your own attacks in favor of defense.
Adamantine Body; At the cost of mobility, a warforged character's body can be crafted with a layer of adamantine that provides formidable protective armor and some damage reduction.
Adamantine Body; At the cost of mobility, your warforged body can be crafted with a layer of adamantine that provides formidable protective armor and some damage reduction.
Adaptable Flanker; When you and an ally team up against a foe, you know how to maximize the threat your ally poses to ruin your target's defenses.
Adaptive Style; With just a short period of meditation, you can change your maneuvers and tactics to meet the threat you currently face.
Additional Favored Class; You are more adept at combining different talents than most members of your race.
Additional Magic Item Space; You can wear more magic items.
Adroit Flyby Attack; You can make flyby attacks and get out of reach quickly
Advantageous Avoidance ; You have a knack for ducking at just the right moment.
Aerenal Arcanist; Your family has studied wizardry for thousands of years. You spent your childhood in arcane libraries, and this early education gives you a great breadth of knowledge.
Aerenal Beastmaster; As an elf of Aerenal, you consider baboons sacred animals and they serve you obediently.
Aerenal Half-Life; The Priests of Transition have guided you through strange rituals that left you poised between the world of the living and the dead.
Aereni Focus; While humans value versatility, the Aereni prefer to hone a single skill to absolute perfection. From childhood you have studied one particular path, and these decades of devotion result in remarkable skill.
Aerial Reflexes; Your aerial agility allow you to avoid dangerous effects while airborne.
Aerial Superiority; You can use your flying ability to gain an advantage against landbound foes or airborne foes that you can outmaneuver.
Aftersight; You have a trace of the Sight in your blood, an unreliable gift as hard to command as a dream, which enables you to pick up echoes of the past, both wondrous and terrible.
Aggressive Mind; The psionic entity you host gives you access to psi-like abilities capable of disrupting the mind of your enemy.
Aggressive; You are quick to initiate combat, and you tend to press the attack once battle is joined. Your enthusiasm makes you a dangerous foe, but you sometimes leave yourself open to blows that a more cautious warrior would avoid.
Agile Athlete; You rely on your agility to perform athletic feats, rather than brute strength.
Agile Shield Fighter; You are skilled in combining your shield bash attack with an armed strike. When you use your shield in unison with a weapon, your training allows you to score telling blows with both.
Agile Tyrant; A creature with this feat develops longer, more fl exible eyestalks than its kin. This extra fl exibility allows it to bring additional eye rays to bear against its foes.
Agile; You are particularly flexible and poised.
Agony Touch; Choose one physical ability score (Strength, Dexterity, or Constitution). When you touch a creature, you can deal damage to this ability score.
Air Bloodline; One of your ancestors was a creature of elemental air. Beings associated with this element come in an almost endless variety and your characteristics might vary with the type of elemental creature from which you descend. Regardless of your exact ancestry, you are likely to have blue eyes and wild, unkempt hair.
Air Devotion; You can defend yourself with the power of air.
Air Heritage; You are descended from creatures native to the Elemental Plane of Air. You share some of your ancestors' natural agility and grace.
Alacritous Cogitation ; You can leave a prepared spell slot open to spontaneously cast a spell.
Alertness; You have finely tuned senses.
Aleval School; You have learned House Aleval's fighting techniques, allowing you to deal damage that weakens your enemy's physical or mental state.
Aligned Attack; Your melee or ranged attack overcomes your opponent's alignment-based damage reduction and deals additional damage.
Allied Defense; You are good at protecting nearby allies.
Alluring; Others have an inexplicable urge to believe your every word.
Alternate Form; You have unlocked the power to move unseen within the human world.
Altitude Adaptation; Your body adapts quickly to changes in altitude, prevent?ing you from suffering as much from altitude sickness.
Altitude Adaptation; Your body adapts quickly to changes in altitude, preventing you from suffering as much from altitude sickness.
Ambidexterity; You are equally adept at using either hand
Anarchic Bloodline; You are descended from a chaotic outsider. The characteristics you display might depend in part on the kind of chaotic heritage you have. Regardless of your exact ancestry, you are likely to have one or more unusual physical traits, such as mismatched eyes or untamable and strangely hued hair.
Anarchic Heritage; You are descended from creatures native to the planes of chaos. You share some of your ancestors' natural resistance to effects that would reshape your form, and you are resistant to the magic of lawful foes.
Ancestral Guidance; The spirit of your patron ancestor guides your hands and thoughts in times of trouble.
Ancestral Knowledge; You have a strong connection to the ancestors of your clan, giving you understanding and knowledge beyond the mortal realms.
Ancestral Relic; You own an ancestral heirloom and can invest it with increasing power.
Ancestral Spirit; You have ties to the long-dead spirit of one of your clan's ancestors, who whispers ancient words of wisdom into your mind in times of need.
Ancestral Whispers; Through intense focus and divine energies, you can hear the advice of past ancestors.
Animal Affinity; You are good with animals. 
Animal Control; Animal Control [General] You can channel the power of nature to gain mastery over animal creatures.
Animal Defiance; You can channel the power of nature to drive off animals.
Animal Devotion; You enhance your own abilities with the characteristics of animals.
Animal Friend; Animals respond favorably to the aura of goodness that exudes from you.
Animal Friends; Your ability to speak with animals has allowed you to befriend an animal as a permanent ally.
Ankheg Tribe Ambush; You have learned how to hide and spring to attack, much like the ankhegs that roam the plains where you hunt.
Antagonist; The psionic entity you host seeks to cause damage and mayhem, and you have powers to further that end.
Antipsionic Magic; Your spells are more potent when used against psionic characters and creatures.
Anvil of Thunder; You have mastered the style of fighting with hammer and axe at the same time, and have learned to deal thunderous blows with this unique pairing of weapons.
Apostate; Your hatred of the gods cloaks you with potent resistance against their works.
Appraise Magic Value; Your ability to determine an item's worth and your knowledge of magic allow you to determine the exact properties of a magic item without the use of the identify spell or similar magic.
Apprentice; A character with this feat has apprenticed himself to a master in order to speed his learning and bolster his skills.
Aquatic Breath; Your reservoir of magic allows you to breathe normally even underwater.
Aquatic Shot; You have developed the technique of fi ring a ranged weapon into or through the water with better accuracy than normal, striking at just the right angle to allow it to slice through the obstruction with precision.
Aquatic Spellcasting; 
Arachnid Rider; You are trained in the art of employing spiders as steeds. Regions: Drow elf, gray dwarf.
Arcane Accompaniment; You infuse your performance with magical energy, allowing its effects to continue even as you attend to other tasks.
Arcane Consumption; You can sacrifi ce your physical health to strengthen a spell. This process leaves you wracked with pain, but the enhanced energy you draw from the spell might provide the margin between victory and defeat.
Arcane Defense; Choose a school of magic, such as Illusion. You can resist spells from that school better than normal.
Arcane Defense; Choose a school of magic, such as illusion. You can resist spells from that school better than normal.
Arcane Disciple; Choose a deity, and then select a domain available to clerics of that deity. You can learn to cast the spells associated with that domain as arcane spells.
Arcane Flourish; You use your magical abilities to improve your performance talents. By bleeding magical energy into your singing, oratory, or other abilities, you enhance the pitch and sound, project your voice with a more commanding tone, and so forth.
Arcane Insight; By immersing yourself in the teachings of Boccob, you have unearthed magical secrets and gained special insight into arcane spellcasting.
Arcane Manipulation; You are learned in the arcane ways of Netheril, where masters of magic once molded and shaped arcane energy to their own will.
Arcane Preparation; 
Arcane Preparation; You can prepare an arcane spell ahead of time as a wizard does.
Arcane Preparation; You can prepare an arcane spell ahead of time just as a wizard does. When you do so, you need not take any extra time to apply metamagic feats upon casting that spell.
Arcane Preparation; You can prepare an arcane spell ahead of time, just as a wizard does.
Arcane Schooling; In your homeland, all who show some skill at the Art may receive training as arcane spellcasters. Thus, many characters know something of the ways of the bard, the sorcerer, or the wizard.
Arcane Schooling; In your homeland, all who show some skill. at the Art may receive training as a wielder of magic. Many characters know something of the ways of the bard, the sorcerer, or the wizard. Regions: Chessenta.. Halruaa, Lantan, Mulhorand, Unthcr.
Arcane Strike; You can channel arcane energy into your melee attacks.
Arcane Thesis; You have studied a single spell in-depth. Your expertise grants you formidable though narrowly focused arcane mastery.
Arcane Toughness; You draw upon the power of your magic to sustain yourself, allowing you to continue fighting long after your physical body has failed you.
Arcane Transfiguration; Drawing upon forgotten lore, you broaden your arcane studies and master a school of magic previously prohibited to you.
Arcane mastery; You are quick and certain in your efforts to defeat the arcane defenses and spells of others.
Archivist of Nature; In addition to your studies of the darkness, you have spent time studying giants and fey.
Arctic Adaptation; You have adapted to the snowbound environment of the arctic reaches of Faerun.
Arctic Priest; You can swap out prepared spells to cast spells to aid in exploring and surviving in frostfell areas.
Area Attack; You can wield improvised weapons to attack several spaces at once.
Armor Proficiency (heavy); You are proficient with heavy armor (see Table 7-6: Armor and Shields, page 123).
Armor Proficiency (light); You are proficient with light armor (see Table 7-6: Armor and Shields, page 123).
Armor Proficiency (medium); You are proficient with medium armor (see Table 7-6: Armor and Shields, page 123).
Armor Skin; Your skin becomes like armor.
Armor Skin; Your skin becomes like armor. Your skin becomes like armor.
Armor Specialization; Through long wear and hours of combat, you have trained your body to believe in its armor. Where others fl inch, you confront. When the sword falls, your instincts, born of bruises and rent fl esh, present your cuirass, cuisse, helm, or gorget to meet the blade at the perfect angle, causing it to skitter off harmlessly.
Armor of Scales ; You imbue a target with the protection of a dragon's hide.
Art of Fascination; You claim descent from Kakita Wayozu, the first female Mistress of the Kakita Academy, whose art was so great it is said that she helped create an alternate world.
Arterial Strike; Your sneak attacks target large blood vessels, leaving wounds that cause massive blood loss.
Artist; You claim descent from Doji, the founder of the Crane household, known as a creator of culture and civilization.
Artist; You come from a culture irt which the arts, philosophy, and music have a prominent place in society. REGION: Chessenta, Ever meet, Waterdeep, rock gnome, 
Artist; Your people are renowned for their skill at story and song.
Ascetic Hunter; You have gone beyond the bounds of your monastic training to incorporate new modes of bringing the unlawful to justice. Although many of your fellow monks frown on your methods, none can doubt that your diverse training has added to your ability to strike precisely and bring down your foes quickly.
Ascetic Knight; You belong to a special order of religious monks that teaches its adherents that self-enlightenment and honorable service grow from the same well of purity. As a student of this philosophy, you have blended your training as a paladin and as a monk into one seamless whole.
Ascetic Mage; You practice an unusual martial art that mixes self-taught spellcasting and melee attacks to great effect.
Ascetic Psion; You are a practitioner of one of the many styles comprising the kalashtar path of shadows, such as the Tashalatora. Mixing meditation, discipline, and movement have taught you to become psionically focused more easily while distracted.
Ascetic Rogue; You have gone beyond the bounds of your monastic training to incorporate new modes of stealthy combat. Although your fellow monks may frown on your methods, none can doubt that your diverse training has improved your ability to strike precisely and bring down your foes quickly.
Ascetic Stalker; You have practiced a secret technique that combines your considerable talents in unarmed combat with a greater understanding of your inner _ki_.
Ashbound Mark; As a member of the Ashbound sect, you use the power of your dragonmark to rid the world of those who practice arcane magic.
Ashbound; You have been trained in the druidic traditions of the Ashbound, seeing yourself as one of nature's avengers. You consider the use of arcane magic to be a vile and unnatural act.
Assume Quirk; You can perfectly imitate a small habit or idiosyncrasy of a person you impersonate in order to throw off suspicion.
Assume Supernatural Ability; You learn to use a supernatural ability of an assumed form.
Astral Tracking; You can follow tracks across the featureless wastes of the Astral Plane. In addition, you can try to determine the destination of a creature that has used a teleport spell or effect.
At Home In The Deep; Your innate power over the darkness extends to your senses.
Athletic; You have a knack for athletic endeavors.
Athletic; You're physically fi t and adept at outdoor sports.
Attention to Detail; You are descended from Akodo's advisor Ikoma--a historian, judge, and storyteller.
Attune Gem; You can magically imbue gems to hold a spell until triggered.
Attune Magical Weapon; Through your study of magic weapons, you have become adept at eking every advantage out of their enchanted qualities.
Augment Elemental; Your knowledge of planar magic allows you to imbue your summoned elementals with extraordinary combat prowess and durability.
Augment Healing; Your Conjuration [Healing] spells are more effective.
Augment Summoning; Your summoned creatures are better than normal.
Augment Summoning; Your summoned creatures are more powerful than normal.
Augmented Alchemy; You can create alchemical items and substances that are much more powerful than normal.
Auspicious Marking; Goliaths place great stock in how the mottled variations in skin pigmentation herald events in that goliath's future. Your skin patterns indicate that fate has marked you for greatness, and the patterns shift slowly to take new forms.
Automatic Quicken Spell; You can cast any of your lesser spells with a moment's thought.
Automatic Silent Spell; You can cast any of your lesser spells silently.
Automatic Still Spell; You can cast any of your lesser spells without gestures.
Autonomous; You have a knack for psionic self-suffi ciency.
Avenging Strike; Your strength of will and strong sense of justice allow you to smite your foes.
Awaken Frightful Presence; You gain frightful presence.
Awaken Spell Resistance; You gain spell resistance.
Awesome Blow; A creature with this feat can choose to deliver blows that send its smaller opponents fl ying like bowling pins.
Awesome Blow; A creature with this feat can choose to deliver blows that send its smaller opponents flying like bowling pins.
Awesome Smite; Through a combination of sheer muscle and mystical acumen, you can deliver devastating smite attacks.
Axeshield; You know how to defend yourself with a battleaxe.
Axespike; You have mastered the art of fighting in spiked armor while wielding a greataxe. You blend greataxe blows and armor spike attacks into one constant, deadly attack form.
Axethrower; You have learned how to hurl heavy weapons to deadly effect.
Axiomatic Bloodline; You are descended from a native of a lawful plane. The most common members of this bloodline are the
Axiomatic Heritage; You are descended from creatures native to the planes of law. You share some of your ancestors' natural resistance to charms, and you are resistant to the magic of chaotic foes.
Axiomatic Strike; You can turn your fist into an instrument of law.
Axiomatic Strike; Your attacks deal incredible damage to chaotic creatures.
Azerblood; once ruled the Adamant Kingdom of Xothaerin beneath western Amn. The blood of the azer runs thick in your veins.
Azure Enmity; You can channel incarnum to enhance your ability to deal damage to your favored enemies. Whenever you strike a favored enemy while essentia is invested in this feat, a gleam of faint blue radiance shines forth from your eyes.
Azure Talent; The soul energy of incarnum increases your mental capacity.
Azure Touch; You can channel incarnum to enhance your ability to heal. When you use your incarnum-infused healing class feature, your hands glow bright blue.
Azure Toughness; You can use incarnum to boost your physical vigor.
Azure Turning; You can blast undead with incarnum-purifi ed positive energy. When you use this feat, your brow is enveloped in a brilliant blue corona.
Azure Wild Shape; You can channel incarnum to enhance your combat prowess while wild shaped. Whenever you deal damage with a natural weapon while this feat is active, a fl ash of blue light bursts from the natural weapon that delivered the strike.
Back on Your Feet; You can hop back to your feet instantly if you fall.
Baleful Moan; Your hollow cry strikes fear into the hearts of the living.
Ballista Proficiency; You have trained in ballista operation.
Bane Magic; Your spells deal extra damage to a particular type of creature.
Bane of Argonnessen; Your Siberys dragonmark swirls as you battle dragons, empowering your weapons to deal greater harm.
Bane of Enemies; Your attacks deal great damage to your favored enemies.
Bane of Infidels;  In a church locked in eternal conflict with followers of another faith, you have learned to fight effectively against the infidels. You know their ways and how to beat them.
Bane of the Unclean; A creature with this feat hates aberrant beholders so strongly that it gains bonuses when fi ghting them.
Barbed Stinger; Your stinger is unusually diffi cult to dislodge.
Batrider; You are highly skilled in the art of flying dire bats, a common form of transportation among the shield dwarves of the Far Hills.
Battle Blessing; You can cast spells more quickly than usual in the heat of battle.
Battle Caster; Building on your existing training allows you to avoid the chance of arcane spell failure when you wear armor heavier than normal.
Battle Casting; You have a knack for staying out of harm's way when casting spells.
Battle Dancer; You strike at your foes in time with the music you sing or in cadence with an oration you deliver. The magical power of your bardic performance drives you forward and improves your fighting ability.
Battle Hardened; Your extensive battle experience has left you incredibly calm and composed, even in the heat of battle.
Battle Jump; You know how to launch a devastating attack from above by dropping onto your opponent. REGION: Taer.
Battle Mage Tactics; Through intense training and impeccable timing, you and your allies learn to augment each other's magical attacks when you focus your efforts on a single target.
Battlebred; Due to traumatic experiences in past battles, the plane of Shavarath with its endless war seems never far from you.
Battlecaster Defense; You have mastered techniques for taking full advantage of spells in melee while remaining unharmed.
Battlecaster Offense; You cunningly mix melee combat and spellcasting to increase the potency of both.
Battlefield Inspiration; You inspire courage in your allies.
Battleshifter Training; Your shifter fighting instincts grant you a sophisticated blend of defensive techniques and controlled attacks.
Bear Fang; You have mastered the fi erce style of fighting with axe and dagger at the same time. You can bring the fight to close quarters in the blink of an eye.
Beast Companion; You can befriend a beast.
Beast Shape; You call upon the power of your beast totem to physically change your form.
Beast Totem; In the druidic custom of your people, you have claimed a kind of magical beast as your totem--a patron, protector, and source of strength.
Beast Wild Shape; You can wild shape into beast form.
Beasthide Elite; Your shifter trait improves.
Beasthide; Shifter trait Pseudo feat.
Beckon the Frozen; Creatures you summon are infused with cold energy and have the cold subtype.
Beloved of Demons; The tanar'ri reward you with unholy vitality whenever you defeat their enemies.
Bend Spell; Cover does little to reduce the effectiveness of your spells.
Bestial Charge; You have learned to take complete advantage of the animal forms you can assume.
Bestial Hide; Your skin is thicker, scalier, or furrier than normal.
Better Lucky than Good ; You can succeed where others would surely fail.
Bind Elemental; You can craft magic items that use bound elementals for special effects, including weapons, armor, airships, and elemental galleons.
Bind Vestige, Improved; You can bind a wider range of vestiges.
