/ love of ...

.Philia;  Description

ablutophilia; washing or bathing
acarophilia; itching
acerophilia; sourness or sour things
achluophilia; darkness
acousticophilia; noise
acrophilia; heights, high places
aeroacrophilia; open high places
aeronauseophilia; airsickness
aerophilia; air or drafts
agateophilia; insanity
agathophilia; kindness
agoraphilia; open or public places
agriozoophilia; wild animals
agyrophilia; streets or crossing them
aichmophilia; sharp or pointed objects
ailurophilia; cats
albuminurophilia; albumen in the urine or kidney disease
alektorophilia; roosters or chickens
algophilia; pain
alliophilia; garlic
allodoxaphilia; different opinions
alphaDictionary.com
amathophilia; dust
amaxophilia; riding in a car or wagon
ambulophilia; walking
amnesiophilia; forgetting
amychophilia; being scratched
anablephilia; looking up
androphilia; men
anemophilia; wind or drafts
anginophilia; angina, choking tightness
ankylophilia; immobility of a joint
anthophilia; flowers
anthropophilia; people or society
antlophilia; floods
anuptophilia; staying single
apeirophilia; infinity
aphenophilia; riches, wealth
apiophilia; bees
apotemnophilia; persons with amputations
arachibutyrophilia; peanut butter sticking in your mouth
arachnophilia; spiders
arithmophilia; numbers
astrophilia; stars or celestial space
asymmetrophilia; asymmetrical things
ataxiophilia; loss of muscular coordination
ataxophilia; disorder or untidiness
atelophilia; imperfection
atephilia; ruin or ruins
athazagoraphilia; forgetfulness or being forgotton
atomosophilia; atomic explosions
atychiphilia; failure or misfortune
augophilia; bright lights, glare, sunlight
aulophilia; flutes
aurophilia; gold
aurorophilia; the Northern Lights
autodysomophilia; bad odors or people with them
automatonophilia; automatons
automysophilia; being dirty
autophilia; solitude, being alone
aviatophilia; flying
bacillophilia; microbes
bacteriophilia; bacteria
ballistophilia; missiles, including bullets
barophilia; gravity
basiphilia; falling or being unable to stand
bathyphilia; depth or deep water
batrachophilia; amphibians, such as frogs
belonephilia; sharp, pointed objects
bibliophilia; books
blennophilia; slime
blogophilia; blogs and writing them
botanophilia; plants
brontophilia; thunder and lightning
bufonophilia; toads
cacophilia; ugliness
cainophilia; newness, novelty, change
caligynephilia; beautiful women
cardiophilia; heart, the
carnophilia; meat
catagelophilia; being ridiculed
catapedophilia; jumping
cathisophilia; sitting
catoptrophilia; mirrors
cenophilia; empty spaces
centophilia; new things or ideas
ceraunophilia; thunder and lightning
chaetophilia; hair
cheimatophilia; the cold or cold things
chemophilia; chemicals
cherophilia; gaiety
chionophilia; snow
chiraptophilia; being touched
chirophilia; hands
cholerophilia; anger or cholera
chorophilia; dancing
chromatophilia; colors
chrometophilia; money
chronomentrophilia; clocks
chronophilia; time
cibophilia; food
claustrophilia; confinement
clinophilia; going to bed
clithrophilia; being enclosed
cnidophilia; stings
coimetrophilia; cemeteries
coitophilia; sex or sexual relations
cometophilia; comets
contreltophilia; sexual abuse
coprastasophilia; constipation
coprophilia; feces
coulrophilia; clowns
counterphilia; fearful situations
cremnophilia; cliffs and precipices
cryophilia; extreme cold, ice or frost
crystallophilia; crystals or glass
cyberphilia; Internet, the
cyclophilia; cycles or bicycles
cymophilia; waves or waviness
cynophilia; dogs or rabies
cyprianophilia; prostitutes or venereal disease
cypridophilia; venereal disease
cyprinophilia; prostitutes
daimonophilia; ghosts or demons
decalcophilia; decals
defecaloesiophilia; painful bowels movements
deipnophilia; dining
dementophilia; insanity
demonophilia; ghosts or demons
demophilia; people
dendrophilia; trees
dentophilia; dentists or dentistry
dextrophilia; things on the right
diabetophilia; diabetes
didaskaleinophilia; going to school
dikephilia; justice, lawsuits
dinophilia; dizziness or whirlpools
diplophilia; double vision
dipsophilia; drinking alcohol
dishabiliophilia; undressing in front of someone
dontophilia; teeth
dorophilia; fur animal skins
doxophilia; opinions or praise
dromophilia; crossing streets
dysmorphophilia; physical deformity
dystychiphilia; accidents
ecclesiophilia; church
ecophilia; the home or houses
eisoptrophilia; mirrors
electrophilia; electricity
eleutherophilia; freedom
emetophilia; vomiting
enetophilia; pins
enissophilia; attack or criticism
enochlophilia; crowds
entomophilia; insects
eosophilia; dawn or daylight
ephebophilia; teenagers
epistaxiophilia; nosebleeds
epistemophilia; knowledge
eremophilia; being oneself or of loneliness
ereuthophilia; red or anything red
ergasiophilia; work or functioning
ergophilia; work
erophilia; love, love-making
erotophilia; the erotic, eroticism
euphilia; goodness or things good
eurotophilia; female private parts
fibriophilia; fever
frigophilia; cold or cold things
gamophilia; marriage
geliophilia; laughter
geniophilia; chins
genophilia; sex
genuphilia; knees
gephyrophilia; crossing bridges
gerascophilia; growing old
germanophilia; germany or german culture
gerontophilia; old people
geumophilia; taste
glossophilia; language or speaking
gnosiophilia; knowledge
goetophilia; witches and witchcraft
graphophilia; writing or script
gymnophilia; nudity
gynephilia; women
hadephilia; hell
hagiophilia; saints or holy things
hamartophilia; sinning or sin
haphephilia; being touched
harpaxophilia; being robbed
hedonophilia; feeling pleasure
heliophilia; the sun or sunlight
helminthophilia; worms
hematophilia; blood
hemophilia; blood
hereiophilia; challenges to official doctrine
herpetophilia; reptiles
heterophilia; the opposite sex
hierophilia; priests or sacred things
hippophilia; horses
hodophilia; road travel
homichlophilia; fog
homilophilia; sermons
