/ Sources: Phobias v2.0 November 1991, Acumen Software by: Adrian B. Danieli

.Phobia             Description

armaphobia          fear of {armor}
sapiphobia          fear of {humanoid}
allophobia          fear of {metal:enchantable}
audaphobia          fear of {noise}
ablutophobia        fear of washing or bathing
acarophobia         fear of skin infestation by mites and ticks
acerophobia         fear of sourness
acousticophobia     fear of noise
acrophobia          fear of heights
aerophobia          fear of flying; fear of drafts or fresh air
agoraphobia         fear of open spaces
aichomophobia       fear of pointed objects
alektorophobia      fear of chickens
algophobia          fear of pain
amathophobia        fear of dust
amychophobia        fear of being scratched
androphobia         fear of men; hatred of men
anemophobia         fear of drafts or winds
anginaphobia        fear of narrowness
anginophobia        fear of sore throats
anthophobia         fear of flowers
anthrophobia        fear of people
antlophobia         fear of floods
aphephobia          fear of touching or being touched
apiphobia           fear of bees
arachnophobia       fear of spiders
asthenophobia       fear of weakness
astraphobia         fear of lightning and thunderstorms
astrophobia         fear of the stars
ataxiophobia        fear of disorder
atelophobia         fear of imperfection
atephobia           fear of ruin
aulophobia          fear of flutes
aurophobia          fear of gold
auroraphobia        fear of auroral lights
automatonophobia    fear of anything that falsely represents a sentient being
automysophobia      fear of dirtying oneself
autophobia          fear of being by oneself
bacillophobia       fear of germs
ballistophobia      fear of missiles
barophobia          fear of gravity
basiphobia          fear of walking
bathophobia         fear of depth
batrachophobia      fear of frogs and toads
belonephobia        fear of pins and needles
bibliophobia        fear of books
blennophobia        fear of slime
bogyphobia          fear of demons and goblins
botanophobia        fear of plants and flowers
brontophobia        fear of thunder and thunderstorms
cainophobia         fear of novelty
caligynephobia      fear of beautiful women
carnophobia         fear of meat
cathisophobia       fear of sitting down
catoptrophobia      fear of mirrors
cenophobia          fear of open spaces
ceraunophobia       fear of being struck by lightning
chaetophobia        fear of hair
cherophobia         fear of gaiety
chionophobia        fear of snow
chrematophobia      fear of money and wealth
chromophobia        fear of colors
chronophobia        fear of time
cibophobia          fear of food
claustrophobia      fear of being in closed or narrow places
cleptophobia        fear of stealing
climacophobia       fear of falling down stairs
clinophobia         fear of going to bed
cnidophobia         fear of strings
cometophobia        fear of comets
cremnophobia        fear of cliffs and precipices
cremophobia         fear of being alone
cryophobia          fear of ice or frost
crystallophobia     fear of glass
cymophobia          fear of sea swells
cynophobia          fear of dogs
deipnophobia        fear of dining and dinner conversation
demonophobia        fear of spirits
demophobia          fear or dislike of crowds
dendrophobia        fear of trees
dikephobia          fear of justice
dinophobia          fear of whirlpools
dipsophobia         fear of drinking
domatophobia        fear of home
doraphobia          fear of fur and animal skins
dysmorphophobia     fear of deformities
ecclesiaphobia      fear of churches
ecophobia           fear of home and home surroundings
eisoptrophobia      fear of termites
electrophobia       fear of electricity
eleuthrophobia      fear of freedom
emetophobia         fear of vomiting
entomophobia        fear of insects
eosophobia          fear of dawn
eremiophobia        fear of being by oneself
ereuthophobia       fear of blushing
ergasiophobia       fear of work
ergophobia          fear of work
erythrophobia       fear of the color red; fear of blushing
euphobia            fear of good news
febriphobia         fear of fever
felinophobia        fear of cats
frigophobia         fear of cold
galeophobia         fear of cats
gamophobia          fear of marriage
gatophobia          fear of cats
gephyrophobia       fear of crossing bridges
gerascophobia       fear of growing old
geumophobia         fear of tastes or flavors
glossophobia        fear of speaking in public or of trying to speak
graphophobia        fear of writing
gymnophobia         fear of nudity
